8,BrainGate,"BrainGate desarrolla interfaces cerebro-computadora para restaurar la movilidad y comunicación en personas con discapacidades motoras. Su característica principal es el uso de microelectrodos en el cerebro para decodificar señales neuronales y controlar dispositivos externos, como prótesis robóticas.",https://www.braingate.org/,,X,N/A.,No.,Alta precision en interfaces neuronales,Uso en rehabilitación médica,Acceso limitado a especialistas,En investigación,No aplica,,,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking",Motora,Alta,Alta,Moderado,Todas,n/a,Parcial  ,Manual,No compatible  ,No  
9,NextMind,"NextMind ofrece una solución no invasiva para interfaces cerebro-computadora en forma de una banda portátil. Su característica principal es la detección de actividad cerebral en el córtex visual, permitiendo a los usuarios interactuar en tiempo real con dispositivos digitales mediante su atención visual.

",https://www.xataka.com/empresas-y-economia/diadema-para-controlar-objetos-mente-snap-compra-nextmind-dobla-su-apuesta-realidad-aumentada, ,X,$399 USD por dispositivo.,"Sí, SDK disponible.",Interfaz cerebro-digital portable,Masificación  del acceso,"Costo de implementación
",No especificada,No aplica,,,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes",Análisis de EEG,"Motora, Cognitiva",Media,Media,Moderado,Todas,n/a,Parcial  ,Automatica,No compatible  ,No  
10,CTRL-labs (Meta),"CTRL-labs, ahora parte de Meta, ha desarrollado un dispositivo no invasivo en forma de brazalete que interpreta señales neuronales motoras. Su característica principal es el control de dispositivos mediante gestos y movimientos de las manos, sin necesidad de contacto directo con los mismos.

",https://www.curtisbarbre.com/ctrl-kit,,X,N/A (no disponible al público).,No directamente; integraciones en desarrollo.,Liderazgo en interfaces neuronales,Integración con ecosistemas digitales,Compatibilidad limitada,No especificada,No aplica,,,"Interfaces cerebro-computadora, Control de cursor alternativo, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking, Reconocimiento gestual",Motora,Alta ,Alta ,Rápido,Todas,n/a,Parcial  ,Automatica,No compatible  ,No  
11,OpenBCI (con la plataforma Galea),"OpenBCI ofrece una plataforma de código abierto para el análisis biométrico y cerebral. Su característica principal, la plataforma Galea, combina EEG con sensores biométricos, integrándose con dispositivos de realidad virtual y aumentada para aplicaciones avanzadas en neurotecnología.

",https://shop.openbci.com/products/galea,,X,"$22,000 USD (edición completa).","Sí, API y SDK.",Compatibilidad con dispositivos externos,Ampliar capacidades de investigación,Costo inicial elevado,Galea,2023,,,"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking, Retroalimentación háptica inteligente","Motora, Cognitiva",Alta,Alta,Moderado,Todas,n/a,Parcial  ,Manual,No compatible  ,No  
12,Emotiv,"Emotiv es una empresa de bioinformática que desarrolla cascos EEG portátiles. Su característica principal es la capacidad de realizar estudios de interacción cerebro-computadora y aplicaciones en neurociencia en tiempo real, accesibles para usuarios y empresas.

",https://www.emotiv.com/,,X,Desde $299 USD por dispositivos básicos.,"Sí, API y SDK.",Electroencefalografía  accesible,Uso masivo en educación y salud,Precisión  dependiente de hardware,Emotiv Insight,2020,,,"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking","Motora, Cognitiva",Media,Media,Moderado,Todas,n/a,Todos  ,Manual,No compatible  ,No  
13,Neurable,"Neurable se enfoca en interfaces cerebro-computadora no invasivas que permiten controlar dispositivos y software en tiempo real. Su característica principal es la creación de interacciones intuitivas en aplicaciones como videojuegos y productividad.

",Official Page,,X,$499 USD por dispositivo.,"Sí, SDK disponible.",Innovación en neurotecnología,Avance en neurociencia aplicada,Uso restringido por costo,Actualizaciones continuas,No aplica,,,"Interfaces cerebro-computadora, Dispositivos asistivos inteligentes","Análisis de EEG, Motion tracking","Motora, Cognitiva",Media,Media,Rápido,Todas,n/a,Parcial  ,Manual,No compatible  ,No  
14,Tobii Dynavox,"Tobii Dynavox es líder en tecnología de seguimiento ocular para personas con discapacidades. Su característica principal es el control de dispositivos mediante movimientos oculares, facilitando la comunicación aumentativa y alternativa (AAC).

",Official Page YouTube,,X,"Desde $5,000 USD por dispositivos avanzados.","Sí, SDK para integración.",Accesibilidad en comunicación aumentativa,Soporte en idiomas adicionales,Dificultad de aprendizaje inicial,No especificada,2024,,,"Seguimiento ocular, Software de comunicación asistiva, Control de cursor alternativo, Dispositivos asistivos inteligentes","Eye-tracking, Síntesis de voz, Procesamiento de Lenguaje Natural",Motora,Alta,Alta,Rápido,Todas,n/a,Windows  ,Manual,No compatible  ,No  
15,EyeSpeak,"EyeSpeak es un sistema de comunicación basado en el seguimiento ocular. Su característica principal es permitir que las personas con discapacidades motoras o del habla seleccionen palabras o letras en una pantalla, facilitando una comunicación fluida.

",Official Page,,X,"Desde $6,000 USD por dispositivo.",No.,Soporte visual y de voz avanzada,Integración con apps de comunicación,Acceso limitado a mercado global,No especificada,No aplica,,,"Seguimiento ocular, Software de comunicación asistiva, Dispositivos asistivos inteligentes","Eye-tracking, Síntesis de voz, Procesamiento de Lenguaje Natural","Motora, Visual",Media,Media,Moderado,Pc,n/a,Windows  ,Manual,Parcial  ,No  
16,Enable Viacam (eViacam),"Enable Viacam es un software gratuito que reemplaza el mouse con movimientos de la cabeza. Su característica principal es el control del cursor mediante una cámara estándar, brindando accesibilidad a personas con movilidad reducida.

",GitHub official page,X,,N/A.,"Sí, accesible mediante GitHub.",2.1.2000,Promoción  en comunidades especí­ficas,Menor popularidad,2.1..0.,2020,,,"Control de cursor alternativo, Dispositivos asistivos inteligentes","Visión por computadora, Motion tracking",Motora,Media,Media,Moderado,Todas,Todos,Todos  ,Automatica,Parcial  ,No  
17,Sesame Phone,"Sesame Phone es un smartphone manos libres diseñado para personas con discapacidades. Su característica principal es el control del dispositivo mediante rastreo de movimientos de la cabeza, eliminando la necesidad de contacto físico.

",https://www.xataka.com/aplicaciones/sesame-quiere-que-los-discapacitados-usen-un-smartphone-sin-usar-las-manos, ,X,$899 USD por dispositivo.,No.,Accesibilidad total desde el diseño,Innovaciones para movilidad reducida,Costo elevado inicial,No especificada,No aplica,,,"Control de cursor alternativo, Dispositivos asistivos inteligentes","Visión por computadora, Motion tracking",Motora,Media,Alta,Moderado,Mobile ,n/a,No compatible  ,Automatica,Parcial  ,No  
18,GazeSpeak (Microsoft),"GazeSpeak es una herramienta de comunicación basada en movimientos oculares. Su característica principal es traducir patrones de mirada en frases, proporcionando un medio de comunicación para personas con discapacidades severas.

",https://www.microsoft.com/en-us/research/wp-content/uploads/2017/01/gazespeak.pdf,X,,N/A.,No.,Comunicaciones adaptadas,Ampliar idiomas y plataformas,Requiere hardware específico,No especificada,No aplica,,,"Software de comunicación asistiva, Seguimiento ocular","Eye-tracking, Procesamiento de Lenguaje Natural, Síntesis de voz",Motora,Media,Media,Moderado,No aplica,n/a,Windows  ,Manual,Parcial  ,No  
19,Irisbond,"Irisbond desarrolla tecnología de seguimiento ocular para personas con movilidad reducida. Su característica principal es permitir el control preciso de dispositivos mediante movimientos oculares.

",https://www.irisbond.com/,,X,"Desde $3,000 USD.","Sí, SDK para integración.",Innovaciónen seguimiento ocular,Más asociaciones con gobiernos,Poca disponibilidad,Advanced Gaze Interaction (AGI),marzo de 2024,,,"Seguimiento ocular, Software de comunicación asistiva, Dispositivos asistivos inteligentes, Control de cursor alternativo","Eye-tracking, Procesamiento de Lenguaje Natural, Síntesis de voz",Motora,Alta,Alta,Rápido,Pc,n/a,Windows  ,Manual,Parcial  ,No  
20, Accessibility Insights for Web,es una herramienta de Microsoft para evaluar la accesibilidad web. Su característica principal es la capacidad de identificar problemas de accesibilidad y proporcionar recomendaciones para cumplir con estándares web.,https://accessibilityinsights.io/docs/web/overview/,X,,N/A.,"Sí, accesible en GitHub.",Accesibilidad web avanzada,Promoción de uso en sitios complejos,Dependencia de internet,No especificada,No aplica,,,Herramientas de simplificación de texto,"Procesamiento de Lenguaje Natural, Visión por computadora","Visual, Cognitiva",Alta,Alta,Moderado,No aplica,"Chrome, Edge",Todos  ,Automatica,Parcial  ,No  
21,UserWay Accessibility Widget,"es una solución para mejorar la accesibilidad web. Su característica principal es permitir ajustes como ampliación de texto, contraste y soporte para lectores de pantalla sin modificar el código base de la página.",https://userway.org/widget/,X,,Desde $10 USD/mes por suscripción avanzada.,No directamente; se integra con sitios web.,Automatización  accesible,Ampliar automatización  en otras áreas,Opciones limitadas gratuitas,No especificada,No aplica,,,Herramientas de simplificación de texto,"Síntesis de voz, Procesamiento de Lenguaje Natural, Visión por computadora","Visual, Cognitiva",Media,Media,Rápido,Todas,Todos,Todos  ,Automatica,Parcial  ,No  
22,Voice Control for Browser,"es una extensión que permite navegar por internet mediante comandos de voz. Su característica principal es ofrecer una navegación manos libres para usuarios con movilidad limitada.

",https://www.lipsurf.com/,X,X,Desde $5 USD/mes para opciones avanzadas.,No directamente.,Control de navegación eficaz,Mayor soporte en dispositivos antiguos,Personalización limitada,No especificada,No aplica,,,"Navegación por voz, Control de cursor alternativo, Dispositivos asistivos inteligentes","Reconocimiento de voz, Procesamiento de Lenguaje Natural, Síntesis de voz",Motora,Media,Media,Moderado,Todas,Chrome,Todos  ,Automatica,No compatible  ,Sí  
23,WAVE,es una herramienta para evaluar la accesibilidad de contenido web. Su característica principal es proporcionar retroalimentación visual sobre el cumplimiento de estándares de accesibilidad.,https://wave.webaim.org/extension/,X,,N/A.,"Sí, accesible para integraciones web.",Simplificación web,Optimizar para navegadores diversos,Restricciones por diseño,No especificada,No aplica,,,"Herramientas de simplificación de texto, Dispositivos asistivos inteligentes","Procesamiento de Lenguaje Natural, Visión por computadora",Visual,Alta,Alta,Moderado,Todas,"Chrome, Edge, Firefox",Todos  ,Automatica,Parcial  ,No  
24,Voiceitt,"es un sistema de reconocimiento de voz diseñado para personas con patrones de habla no estándar. Su característica principal es traducir el habla en texto o voz sintetizada, facilitando la comunicación en tiempo real.",https://www.voiceitt.com/,X,,Desde $20 USD/mes.,No.,Reconocimiento de voz adaptado,Soporte en más  dispositivos,Limitación en idiomas,1.3,marzo de 2024,,,"Reconocimiento de voz, Software de comunicación asistiva, Dispositivos asistivos inteligentes","Reconocimiento de voz, Procesamiento de Lenguaje Natural, Síntesis de voz","Cognitiva, Motora, Auditiva",Alta,Alta,Moderado,Todas,Todos,No compatible  ,Manual,No compatible  ,Sí  
25,LipSurf,"Extensión de navegador que utiliza inteligencia artificial para reconocer comandos de voz y convertirlos en acciones dentro del navegador. La IA permite un procesamiento eficiente del lenguaje natural, facilitando la navegación web y el control de aplicaciones sin necesidad de teclado o ratón.",https://www.lipsurf.com/,X,X,Desde $4.99 USD/mes para funciones premium.,No.,"Destaca por su alta precisión en el reconocimiento de voz y su rápida respuesta, lo que permite una navegación web eficiente. Es fácil de instalar y compatible con navegadores modernos, haciendo accesible su uso inmediato.","Ampliar su compatibilidad con más navegadores y sistemas operativos, además de mejorar su soporte multidispositivo, podría potenciar su adopción. La integración de personalización avanzada en los comandos también representaría un valor agregado.","Es limitado a navegadores específicos (principalmente Chrome) y requiere una configuración inicial manual. Su funcionalidad depende de la claridad y el entorno del usuario, lo que puede afectar su sensibilidad en entornos ruidosos.",4.0,julio de 2024,,,"Navegación por voz, Control de cursor alternativo, Dispositivos asistivos inteligentes","Reconocimiento de voz, Procesamiento de Lenguaje Natural, Síntesis de voz",Motora,Alta,Media,Rápido,PC,Chrome,Parcial  ,Manual,No compatible  ,Sí  
26,Tecla,"Dispositivo de acceso asistivo que utiliza inteligencia artificial para unificar y adaptar entradas físicas, como botones o controles de movilidad, permitiendo a usuarios con discapacidades motoras controlar dispositivos digitales. La IA optimiza la interpretación de entradas múltiples, personalizando la experiencia según las necesidades del usuario.",https://gettecla.com/,,X,$399 USD.,No.,"Es versátil, compatible con múltiples dispositivos y sistemas operativos, ofreciendo accesibilidad unificada para smartphones, tablets y computadoras. Su facilidad de uso y adaptabilidad a diferentes tecnologías de entrada lo hacen altamente inclusivo.",Ampliar su funcionalidad con comandos por voz y compatibilidad con navegadores adicionales mejoraría aún más su accesibilidad. La reducción de costos también permitiría llegar a un público más amplio.,"Requiere configuración manual inicial, y su precisión puede depender del tipo de entrada física utilizada. Además, su dependencia de hardware externo puede limitar su portabilidad y uso continuo.",Tecla-e,mayo de 2023,,,"Dispositivos asistivos inteligentes, Control de cursor alternativo","Motion tracking, Reconocimiento gestual","Motora, Cognitiva",Alta,Alta,Rápido,"PC, Mobile, Tablet",Todos,Parcial  ,Manual,Parcial  ,No  
27,EyeControl,"Dispositivo de comunicación asistiva que utiliza inteligencia artificial para interpretar los movimientos oculares del usuario, permitiendo la navegación y selección en interfaces digitales. La IA procesa y adapta en tiempo real los patrones de mirada, asegurando precisión en la detección y ejecución de comandos.",https://www.eyecontrol.co.il/,,X,"Desde $2,500 USD.",No.,"Alta precisión y sensibilidad en el seguimiento ocular, facilitando la comunicación para personas con discapacidades motoras severas. Es portátil, no invasivo y funciona sin necesidad de pantallas complejas.","La integración con sistemas operativos adicionales y navegadores, así como el desarrollo de soporte para comandos por voz, podría ampliar su funcionalidad y accesibilidad. La reducción de costos también facilitaría su adopción.","Requiere configuración manual inicial y puede tener limitaciones en ambientes con iluminación inadecuada. Además, su precisión puede verse afectada por movimientos involuntarios de los ojos.",2.0,agosto de 2024,,,"Seguimiento ocular, Software de comunicación asistiva, Dispositivos asistivos inteligentes","Eye-tracking, Síntesis de voz, Procesamiento de Lenguaje Natural",Motora,Alta,Alta,Moderado,"PC, Tablet",Todos,Windows  ,Manual,No compatible  ,No  
28,Grid,"Software de comunicación asistiva que utiliza inteligencia artificial para predecir y adaptar sugerencias de palabras o frases en tiempo real, facilitando la comunicación a través de texto, voz sintética y símbolos. La IA optimiza la experiencia del usuario al aprender patrones de uso y mejorar la precisión de las predicciones y la navegación.",https://thinksmartbox.com/grid/ YouTube,,X,$50 USD/mes (aproximado).,No.,"Destaca por su alta precisión en la predicción de texto y su sensibilidad al adaptarse a las necesidades específicas del usuario. Es compatible con múltiples dispositivos y tecnologías de acceso, brindando una solución versátil para la comunicación.","La expansión a más sistemas operativos, como Linux, y la mejora del soporte para comandos por voz podrían ampliar su alcance. Además, optimizar su uso en dispositivos móviles beneficiaría a una base de usuarios más amplia.",Requiere configuración manual inicial y puede resultar complejo para nuevos usuarios debido a la amplia gama de funcionalidades. La experiencia puede variar según el hardware disponible.,Grid 4,noviembre de 2023,,,"Software de comunicación asistiva, Dispositivos asistivos inteligentes, Teclados virtuales predictivos, Lectores de pantalla avanzados","Procesamiento de Lenguaje Natural, Síntesis de voz, Reconocimiento de voz","Cognitiva, Motora",Alta,Alta,Rápido,"PC, Mobile, Tablet",Todos,Parcial  ,Manual,Total  ,Parcial  
29,HeadMouse Nano,"Dispositivo asistivo que utiliza inteligencia artificial para analizar movimientos de la cabeza y convertirlos en acciones precisas del cursor en tiempo real. La IA mejora su rendimiento al interpretar de manera adaptativa los movimientos, permitiendo una navegación fluida y personalizada en dispositivos digitales.",https://www.orin.com/access/headmouse/,,X,$995 USD.,No.,"Altamente preciso y sensible, ofreciendo un tiempo de respuesta rápido. Es compatible con múltiples dispositivos y sistemas operativos, y no requiere contacto físico, lo que facilita su uso para personas con discapacidades","La incorporación de soporte para comandos por voz y una mayor compatibilidad con plataformas móviles aumentaría su funcionalidad y alcance. Además, optimizar su configuración inicial podría facilitar su adopción por nuevos usuarios.",Requiere configuración manual inicial y puede tener dificultades en entornos con iluminación variable o interferencias de movimiento externo. Su costo puede ser un desafío para usuarios con recursos limitados.,1.0,2013,,,"Control de cursor alternativo, Dispositivos asistivos inteligentes","Motion tracking, Visión por computadora",Motora,Alta,Alta,Rápido,"PC, Tablet",Todos,Parcial  ,Manual,No compatible  ,No  
30,Quha Zono,"Es un ratón inalámbrico giroscópico que utiliza inteligencia artificial para interpretar movimientos de la cabeza y transformarlos en control del cursor en dispositivos digitales. La IA optimiza la precisión al ajustar los movimientos detectados en tiempo real, ofreciendo una experiencia adaptativa y personalizada para usuarios con discapacidades motoras.",https://www.quha.com/,,X,$950 USD.,No.,"es altamente preciso y sensible, permitiendo un control fluido y eficiente del cursor. Es inalámbrico, ligero y compatible con múltiples dispositivos y sistemas operativos, brindando una solución versátil y portátil.","El desarrollo de funcionalidades adicionales, como comandos por voz y mayor integración con dispositivos móviles, podría ampliar su accesibilidad y atractivo. Mejorar su usabilidad en entornos con múltiples distracciones visuales también representa una oportunidad.","Requiere configuración manual inicial y puede tener limitaciones en ambientes con movimientos externos no controlados. Además, su dependencia de hardware específico y su costo relativamente alto podrían limitar su adopción.",2.0,junio de 2024,,,"Control de cursor alternativo, Dispositivos asistivos inteligentes","Motion tracking, Reconocimiento gestual",Motora,Alta,Alta,Rápido,"PC, Mobile, Tablet",Todos,Parcial  ,Manual,No compatible  ,No  
